,book_authors,book_name
0,"Carlos Ruiz Zafón, Lucia Graves",La sombra del viento
1,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes
2,"Muriel Barbery, Alison Anderson",L'élégance du hérisson
3,Julia Glass,Three Junes
4,Jhumpa Lahiri,Unaccustomed Earth
5,Chris Cleave,The Other Hand
6,"Dai Sijie, Ina Rilke",Balzac et la Petite Tailleuse chinoise
7,Markus Zusak,The Book Thief
8,Nicole Krauss,The History of Love
9,Marilynne Robinson,Gilead
10,Marilynne Robinson,Housekeeping
11,John Banville,The Sea
12,Kazuo Ishiguro,Never Let Me Go
13,Douglas Adams,The Hitchhiker's Guide to the Galaxy
14,Shel Silverstein,The Giving Tree
15,"C.S. Lewis, Pauline Baynes",The Chronicles of Narnia
16,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание
17,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables
18,John Steinbeck,The Grapes of Wrath
19,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray
20,John Steinbeck,East of Eden  
21,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility
22,Barbara Kingsolver,The Poisonwood Bible
23,"Jane Austen, Fiona Stafford",Emma
24,Frank McCourt,Angela's Ashes: A Memoir
25,"Ayn Rand, Leonard Peikoff",Atlas Shrugged
26,Dennis Lehane,Mystic River
27,Garth Stein,The Art of Racing in the Rain
28,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden
29,"Randy Pausch, Jeffrey Zaslow",The Last Lecture
30,Michael Ondaatje,
31,Anthony Doerr,
32,Paula McLain,The Paris Wife
33,Sue Monk Kidd,The Invention of Wings
34,Liane Moriarty,Big Little Lies
35,Geraldine Brooks,People of the Book
36,Geraldine Brooks,Caleb's Crossing
37,Daniel Tammet,Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant
38,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",The Forty Rules of Love
39,Ross King,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture
40,"Elena Ferrante, Ann Goldstein",Storia di chi fugge e di chi resta
41,"Elena Ferrante, Ann Goldstein",Storia del nuovo cognome
42,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",Братья Карамазовы
43,"Elena Ferrante, Ann Goldstein",L'amica geniale
44,Khaled Hosseini,A Thousand Splendid Suns
45,Sara Gruen,Water for Elephants
46,Alice Sebold,The Lovely Bones
47,Jeffrey Eugenides,Middlesex
48,Kathryn Stockett,The Help
49,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor
50,Mitch Albom,The Five People You Meet in Heaven
51,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia"
52,Ann Patchett,Bel Canto
53,"Greg Mortenson, David Oliver Relin",Three Cups of Tea 
54,Lisa See,Snow Flower and the Secret Fan
55,Jhumpa Lahiri,The Namesake
56,Audrey Niffenegger,The Time Traveler's Wife
57,Ken Follett,The Pillars of the Earth
58,Maurice Sendak,Where the Wild Things Are
59,Geraldine Brooks,Year of Wonders: A Novel of the Plague
60,Lois Lowry,The Giver
